S. No,District,Total Positive Cases as on 05.04.2021,Discharged Cases as on 05.04.2021,Active Cases as on 05.04.2021,Death Cases as on 05.04.2021
1,Ariyalur,4853,4756,48,49
2,Chengalpattu,57859,54709,2322,828
3,Chennai,255074,241808,8991,4275
4,Coimbatore,60534,57404,2436,694
5,Cuddalore,26030,25318,420,292
6,Dharmapuri,6840,6694,91,55
7,Dindigul,12073,11635,236,202
8,Erode,15537,15149,238,150
9,Kallakurichi,11015,10840,67,108
10,Kancheepuram,31148,30090,594,464
11,Kanniyakumari,17718,17184,269,265
12,Karur,5718,5577,89,52
13,Krishnagiri,8686,8290,277,119
14,Madurai,22173,21161,544,468
15,Nagapattinam,9481,8832,505,144
16,Namakkal,12251,11933,207,111
17,Nilgiris,8766,8563,153,50
18,Perambalur,2323,2285,17,21
19,Pudukkottai,11982,11672,150,160
20,Ramanathapuram,6613,6399,76,138
21,Ranipet,16600,16174,236,190
22,Salem,33794,32934,392,468
23,Sivaganga,7097,6822,148,127
24,Tenkasi,8824,8499,164,161
25,Thanjavur,20373,19280,820,273
26,Theni,17372,17075,90,207
27,Thoothukudi,16662,16352,167,143
28,Tiruchirappalli,16225,15279,760,186
29,Tirunelveli,16344,15743,385,216
30,Tirupathur,7890,7656,106,128
31,Tiruppur,19757,18939,591,227
32,Tiruvallur,46928,45221,992,715
33,Tiruvannamalai,19839,19391,162,286
34,Tiruvarur,12352,11750,487,115
35,Vellore,21678,21066,257,355
36,Villupuram,15655,15342,200,113
37,Virudhunagar,16950,16651,67,232
38,Airport Surveillance (International),979,966,12,1
39,Airport Surveillance (Domestic),1058,1046,11,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,903479,866913,23777,12789
