S.No,District,Total Positive Cases as on 08.04.2021,Discharged Cases as on 08.04.2021,Active Cases as on 08.04.2021,Death Cases as on 08.04.2021
1,Ariyalur,4880,4775,56,49
2,Chengalpattu,59048,55365,2845,838
3,Chennai,259320,243395,11633,4292
4,Coimbatore,61597,57840,3059,698
5,Cuddalore,26192,25422,478,292
6,Dharmapuri,6919,6716,148,55
7,Dindigul,12265,11695,368,202
8,Erode,15680,15200,330,150
9,Kallakurichi,11056,10846,102,108
10,Kancheepuram,31402,30271,667,464
11,Kanniyakumari,17837,17240,332,265
12,Karur,5769,5607,110,52
13,Krishnagiri,8830,8360,351,119
14,Madurai,22475,21217,789,469
15,Nagapattinam,9743,8986,612,145
16,Namakkal,12337,11994,232,111
17,Nilgiris,8840,8610,180,50
18,Perambalur,2330,2288,21,21
19,Pudukkottai,12052,11714,178,160
20,Ramanathapuram,6665,6409,118,138
21,Ranipet,16684,16252,242,190
22,Salem,34063,33136,458,469
23,Sivaganga,7181,6870,184,127
24,Tenkasi,8889,8520,208,161
25,Thanjavur,20723,19612,832,279
26,Theni,17441,17099,135,207
27,Thoothukudi,16768,16397,228,143
28,Tiruchirappalli,16568,15442,938,188
29,Tirunelveli,16555,15832,506,217
30,Tirupathur,7959,7692,139,128
31,Tiruppur,20155,19093,834,228
32,Tiruvallur,47509,45514,1276,719
33,Tiruvannamalai,19972,19430,254,288
34,Tiruvarur,12543,11909,518,116
35,Vellore,21912,21157,400,355
36,Villupuram,15739,15396,230,113
37,Virudhunagar,17021,16674,115,232
38,Airport Surveillance (International),981,966,14,1
39,Airport Surveillance (Domestic),1058,1046,11,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,915386,872415,30131,12840
