S. No,District,Total Positive Cases as on 21.03.2021,Discharged Cases as on 21.03.2021,Active Cases as on 21.03.2021,Death Cases as on 21.03.2021
1,Ariyalur,4771,4706,16,49
2,Chengalpattu,54347,52796,750,801
3,Chennai,241623,234441,2985,4197
4,Coimbatore,57132,55759,687,686
5,Cuddalore,25358,24987,82,289
6,Dharmapuri,6713,6618,40,55
7,Dindigul,11686,11375,111,200
8,Erode,15060,14791,119,150
9,Kallakurichi,10921,10808,5,108
10,Kancheepuram,29941,29236,254,451
11,Kanniyakumari,17297,16937,99,261
12,Karur,5577,5477,49,51
13,Krishnagiri,8289,8094,77,118
14,Madurai,21467,20881,124,462
15,Nagapattinam,8790,8557,96,137
16,Namakkal,11934,11761,62,111
17,Nilgiris,8508,8374,84,50
18,Perambalur,2299,2271,7,21
19,Pudukkottai,11752,11546,48,158
20,Ramanathapuram,6504,6357,10,137
21,Ranipet,16305,16082,33,190
22,Salem,33049,32425,157,467
23,Sivaganga,6875,6692,56,127
24,Tenkasi,8616,8424,32,160
25,Thanjavur,18776,18067,447,262
26,Theni,17222,16987,28,207
27,Tirupathur,7689,7533,29,127
28,Tiruvallur,45109,43892,514,703
29,Tiruvannamalai,19582,19264,33,285
30,Tiruvarur,11590,11343,135,112
31,Thoothukudi,16432,16243,46,143
32,Tirunelveli,15889,15590,84,215
33,Tiruppur,18858,18376,258,224
34,Tiruchirappalli,15237,14933,120,184
35,Vellore,21237,20761,123,353
36,Villupuram,15343,15191,38,114
37,Virudhunagar,16764,16477,55,232
38,Airport Surveillance (International),965,957,7,1
39,Airport Surveillance (Domestic),1047,1043,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,866982,846480,7903,12599
