S.No,District,Total Positive Cases as on 25.04.2021,Discharged Cases as on 25.04.2021,Active Cases as on 25.04.2021,Death Cases as on 25.04.2021
1,Ariyalur,5357,5019,287,51
2,Chengalpattu,73861,64124,8826,911
3,Chennai,309899,273797,31535,4567
4,Coimbatore,73219,65748,6757,714
5,Cuddalore,28932,27104,1513,315
6,Dharmapuri,8568,7497,1008,63
7,Dindigul,14653,12869,1576,208
8,Erode,18900,16526,2220,154
9,Kallakurichi,11970,11254,608,108
10,Kancheepuram,36058,32655,2904,499
11,Kanniyakumari,20406,18536,1581,289
12,Karur,6910,6046,811,53
13,Krishnagiri,12261,9719,2417,125
14,Madurai,27936,23720,3720,496
15,Nagapattinam,12171,10711,1294,166
16,Namakkal,14588,12973,1501,114
17,Nilgiris,9604,9075,478,51
18,Perambalur,2484,2371,90,23
19,Pudukkottai,13167,12283,724,160
20,Ramanathapuram,7595,6847,607,141
21,Ranipet,19180,17292,1694,194
22,Salem,38985,35094,3401,490
23,Sivaganga,8089,7466,493,130
24,Tenkasi,10912,9333,1407,172
25,Thanjavur,24068,21832,1944,292
26,Theni,18997,17625,1161,211
27,Thoothukudi,20879,17918,2812,149
28,Tiruchirappalli,21168,18068,2894,206
29,Tirunelveli,21299,17599,3471,229
30,Tirupathur,9244,8225,884,135
31,Tiruppur,24174,21536,2404,234
32,Tiruvallur,55646,49907,4978,761
33,Tiruvannamalai,22518,20516,1707,295
34,Tiruvarur,14455,13361,976,118
35,Vellore,25100,22536,2190,374
36,Villupuram,17480,16220,1142,118
37,Virudhunagar,18758,17363,1156,239
38,Airport Surveillance (International),1000,994,5,1
39,Airport Surveillance (Domestic),1069,1064,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1081988,963251,105180,13557
